NK_Codetable,NK_Indication,NK_Measure
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A7A314A0-7F4F-472F-81D5-73D1FF8207AB,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
6B037E33-EF0D-4221-ABEF-DF69E3CB6E63,A7B2741D-F196-4385-A2E3-8D027D5FB95D,85441068-9AA9-40DE-9AEF-32B431663200
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A7BF9C56-AC3D-44F1-9099-D17BDF6F3E4B,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A7D0A97F-041C-4C12-9D3D-BAAAE174EBE0,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A7D5232E-D7C0-44F0-B9E8-C390A5634162,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A7DE1FD8-B93A-48B8-ACB7-2D67209B625F,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A7E1B496-118E-4803-86AD-205A5B7A2437,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A7F7E9AA-E4B7-4A18-BA3A-7F8558C71C86,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A7F8E5C6-9C19-402E-9051-EDD95E98A99A,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
B6121EAC-9C11-4572-8141-73D28B6B0C30,A7FA1B6E-A270-49ED-98A8-B70F6029903C,BF45D8F6-A560-441D-8BB4-E266EB9790AD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A802BCB6-F413-427E-A684-E30417BA623F,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A804A574-2EF7-4A43-8598-FFE98A4F8D09,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A80739F3-039C-448C-B491-58887C9FDFB6,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A8144A5F-9ADF-4686-A375-5F835534B8F7,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A815D42F-CFFA-43B1-A309-2200DB90E59E,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
B6121EAC-9C11-4572-8141-73D28B6B0C30,A81E144F-4D4C-4218-B1F7-80D34AE52FC0,BF45D8F6-A560-441D-8BB4-E266EB9790AD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A8202C50-9354-494A-BC5E-2F8548831324,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
37D088FC-2B9D-400A-BCEE-886A40321516,A824E538-92FD-4813-A863-28434754B768,861A4326-0249-43E1-9DF3-1009CF3E3081
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A828E6A4-6B23-4999-A0D2-BF2F0E7E4EBA,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A82AEE8D-E1B6-4A2E-866F-D8D8CC7A0FED,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A8347B1B-953A-4F97-932D-BBB180E00B21,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
B6121EAC-9C11-4572-8141-73D28B6B0C30,A83E5440-AE89-4B96-81AB-65D3E5351E2D,BF45D8F6-A560-441D-8BB4-E266EB9790AD
B6121EAC-9C11-4572-8141-73D28B6B0C30,A853F1CD-69E5-47C6-8DB0-35FCBC2BC833,BF45D8F6-A560-441D-8BB4-E266EB9790AD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A86ABD61-1C08-435C-A728-61D74FBFCA99,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
EE216082-9121-4C8B-A103-D7C718A805AB,A8711C07-86D9-4CB0-9E6B-804714020E0A,F2F922DE-5B94-4FCA-A261-E22A7DD16FCD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A87C688A-486C-495E-B0ED-105C1027C2FC,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
37D088FC-2B9D-400A-BCEE-886A40321516,A87D1543-E94B-462E-BF80-6DE4AB3C54F5,861A4326-0249-43E1-9DF3-1009CF3E3081
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A8866CD8-A665-44A3-B756-9FACFA4627E7,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
B6121EAC-9C11-4572-8141-73D28B6B0C30,A8901B1B-D290-4BA1-94E0-F32D7BC126B8,BF45D8F6-A560-441D-8BB4-E266EB9790AD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A8936772-669B-4973-87A8-9ED24EE14356,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
3AB5ACD6-9539-45B8-A539-26C06C84BDED,A8AAC065-8F55-4F57-99F6-573B5733AC02,87CC2F2D-F0DB-4846-9741-41CC3A097557
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A8B2FF78-AA01-455D-B009-7F6E0742B14E,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A8B87C7C-BFC9-43E0-BF24-9E2DEE3D4B36,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
