"bk_Code","ID","PARENT_ID","VERSION","VALUE","LANGUAGE","CODE_VALUE","IUPAC_NAME","TEXT_KEY","BBCH_STAGE_FROM","BBCH_STAGE_TO","MIN_INTERNAL_BETWEEN_USES","MAX_APPLICATIONS","UNIT_MAX_APPLICATIONS","InfofitoRef"
"A4BE6F01-DEFE-4C4B-8CBC-6E3DCF77FA6C-de","A4BE6F01-DEFE-4C4B-8CBC-6E3DCF77FA6C","","0","Vor oder nach der Blüte, bei Befallsbeginn.","de","","","ApplicationComment","","","","","",""
"A4BF4968-5399-4CBA-A6F0-02BE7128B72A-en","A4BF4968-5399-4CBA-A6F0-02BE7128B72A","","0","","en","","","Pest","","","","","",""
"A4BF4968-5399-4CBA-A6F0-02BE7128B72A-it","A4BF4968-5399-4CBA-A6F0-02BE7128B72A","","0","Cocciniglie diaspine","it","","","Pest","","","","","",""
"A4BF4968-5399-4CBA-A6F0-02BE7128B72A-fr","A4BF4968-5399-4CBA-A6F0-02BE7128B72A","","0","cochenilles diaspines","fr","","","Pest","","","","","",""
"A4BF4968-5399-4CBA-A6F0-02BE7128B72A-de","A4BF4968-5399-4CBA-A6F0-02BE7128B72A","","0","Deckelschildläuse","de","","","Pest","","","","","",""
"A4C44F6E-6F29-4095-A991-302A622218F1-en","A4C44F6E-6F29-4095-A991-302A622218F1","","0","","en","","","IngredientAdditionalText","","","","","",""
"A4C44F6E-6F29-4095-A991-302A622218F1-de","A4C44F6E-6F29-4095-A991-302A622218F1","","0","als 20.0% Natriumoleat (200g/l)","de","","","IngredientAdditionalText","","","","","",""
"A4C44F6E-6F29-4095-A991-302A622218F1-it","A4C44F6E-6F29-4095-A991-302A622218F1","","0","sotto forma 20.0% di oleato di sodio (200g/l)","it","","","IngredientAdditionalText","","","","","",""
"A4C44F6E-6F29-4095-A991-302A622218F1-fr","A4C44F6E-6F29-4095-A991-302A622218F1","","0","sous forme 20.0% de oléate de sodium (200g/l)","fr","","","IngredientAdditionalText","","","","","",""
"A4D10A95-044F-4179-A171-CA6A6AF75F80-it","A4D10A95-044F-4179-A171-CA6A6AF75F80","","0","Essitiazox","it","","(4RS5RS)-5-(4-chlorophenyl)-N-cyclohexyl-4-methyl-2-oxothiazolidine-3-carboxamide","Substance","","","","","",""
