NK_Codetable,NK_Indication,NK_Obligation,ObligationID
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,8B482F8F-31CC-4114-9F71-A01BF4BD4456,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,8B8B2E78-A62D-46AD-B7AE-96A92FB5AF3C,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,8DE3DF54-B187-4F23-8F6F-A080331BAB9B,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,8E876C57-1B4B-4391-B9F6-10CE9850AEC6,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,92F79812-85CE-4123-B2F1-6B7206C5BF9A,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,934ED964-2BC6-47AF-9BA2-F783FABB2D93,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,95DA3EDF-0D00-4D82-A375-E0EFD731DC60,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,96B9B8BA-C298-4924-9ADE-443A91B83115,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,9ABA9378-933D-4F2F-99FE-C368A5624862,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,9DA6B04E-8BEF-4115-9B1F-7FD5AFE96ADF,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,9F3154AA-4740-49B8-BB2F-56F5019B11A7,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,A19BD973-8AE2-4BCF-8528-B3632A5CFD63,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,A45775C5-B16B-490A-83D3-C26E5BFA7745,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,A4DABADC-AF09-4F85-90F5-1E2E720977BB,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,A5AE24D1-3035-430C-83C9-133D871D8CB9,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,AEE4EC05-C42C-4DA0-87F7-CD0D35C20AE0,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,B57C6053-46CE-4492-A58C-B73173F6265C,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
