NK_Codetable_Culture                 NK_Codetable_Culture_AdditionalText  NK_Codetable_Parent_Culture          NK_Culture                           NK_Indication
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC FF854ACB-91B9-40C0-A563-18294578F94D
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D 02F15194-EFB6-443F-9FAD-0293AF446F3B
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D 202399C5-6D10-4931-9E0D-2F1BADBBA4B0
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D 325CDB44-24C9-4BF5-9E5E-F13EFFF1FE2E
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D 3DE5885D-28F1-43D7-A25C-E34920BC5EF9
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D 5361D8C8-F819-4095-9A9F-2C54D400A1E4
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D 56632358-A7F3-4840-BDFE-F2A033D3FA9E
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D 79B0906D-0989-42D2-BECB-7C43F152655A
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D 8BE9C5DB-B760-475F-BFDC-89980DB0606B
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D 9245AEC0-5206-4B06-9635-E9C1ED98CB8F
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D 93CB7832-8F3D-4AD7-9EF5-ED3E0BE2D22B
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D 9ECB1BAD-D3E6-4F6C-A9A3-BE6F80A6CA3D
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D BA4EB1D4-2A60-4349-B7D3-584D71BE0674
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D CEC138B4-BD65-4FD7-A229-F4978FF59238
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D E12C33EC-A2B4-42C7-BCEE-A964D7F6833E
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D E4BF67BD-35E9-4A67-B278-EECB15D66037
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D F277B8C3-EA79-44C2-A010-AA39AEB59754
